averageRating,numVotes
8.2,40280
7.3,15737
6.4,20974
7.8,13173
8.1,51913
8.3,102263
7.7,10853
7.9,83198
8.1,16860
8.1,11422
8.2,35489
8.0,49413
8.2,92384
7.6,15569
8.1,13065
8.3,149061
8.1,74116
8.1,44452
7.5,10474
8.2,23763
8.1,42483
7.9,12060
8.4,20475
7.7,43160
8.0,54490
7.6,12506
7.7,12770
7.3,11115
7.3,11798
8.5,153453
7.5,42861
7.8,60594
8.3,132611
7.5,10693
7.7,16507
7.6,11762
7.9,39546
7.4,16115
7.6,11107
8.2,10840
7.1,21594
7.8,23595
8.0,10710
8.0,12024
7.6,14396
7.8,53215
7.7,27286
7.9,75270
7.8,13383
8.1,87070
6.8,15694
8.0,24738
7.3,14082
7.7,48001
7.8,40501
7.7,12140
7.7,19444
7.9,29133
7.8,16167
7.9,10476
8.5,199134
7.9,18533
8.0,19287
7.6,11618
7.1,13585
7.6,11411
7.7,16586
7.6,12352
8.1,31730
7.7,11393
7.6,169512
7.9,44813
7.9,18751
7.9,52041
7.8,13216
7.5,11059
7.8,43911
7.9,21741
8.1,270709
7.4,10367
8.1,100529
7.9,17672
7.7,11403
8.0,11775
8.1,24890
7.9,39586
8.0,358161
7.8,11831
7.6,15275
7.8,83537
7.5,16951
8.0,82509
8.5,187487
7.9,49743
7.6,10737
7.9,59772
7.4,120814
8.1,113847
8.1,25199
7.5,11081
8.3,373254
7.2,111768
7.5,13984
7.7,19686
7.8,17764
8.0,142978
7.7,11231
7.7,14385
8.0,22373
7.4,29854
7.3,21806
7.3,122394
8.5,489468
7.3,18256
7.5,12109
7.7,20786
7.6,14659
8.0,13946
7.5,10097
7.2,21618
6.4,75531
8.3,24090
7.7,13190
7.1,10201
8.1,12114
8.0,19543
7.9,55337
8.0,62592
8.3,132538
7.8,21945
8.0,54412
8.0,39644
7.7,24873
7.6,18885
7.6,11172
7.9,28810
7.7,12520
7.5,11646
8.0,32733
7.4,13422
8.4,17141
7.9,31358
8.0,20912
7.5,10961
7.8,13007
7.6,40334
6.5,10993
7.9,22842
7.9,75078
7.7,25646
7.8,20764
8.6,368971
7.8,17625
8.1,17772
7.8,19966
7.9,86967
7.5,17228
8.1,21161
7.1,10447
7.4,20562
7.6,12929
7.8,19837
7.6,16455
7.2,13748
7.9,14581
7.9,37712
7.9,14564
8.0,29973
7.5,13658
7.5,15297
7.6,14239
7.8,34888
8.3,132944
7.6,24193
8.0,10230
7.6,11045
7.8,10518
7.8,26150
8.2,26591
8.0,118665
8.2,106500
7.5,18259
7.0,11361
7.5,12282
8.3,12688
8.2,12287
8.0,32651
7.9,13682
7.4,14996
7.3,14694
8.1,149207
7.7,11631
8.2,26319
8.2,112588
7.9,22303
7.3,135769
7.6,10466
7.9,50810
8.0,23297
7.9,10976
8.3,16665
8.2,140163
7.2,13056
7.1,11674
8.4,185597
7.7,15526
8.4,21015
7.7,67867
7.4,120052
7.2,28180
8.2,26431
7.7,73538
8.1,10364
7.8,18615
7.2,12594
8.1,18505
8.0,116745
8.0,93569
7.2,23732
7.8,12006
6.6,11948
7.9,92349
8.3,60964
7.6,11755
8.1,16617
7.0,12137
